id,nama,status,agency,pagu,hps,penawaranmenang,pemenang,
25666014,Pengadaan Jasa Pencucian Tahun 2015 Di Instalasi Rawat Inap Khusus (RIK) Paviliun Parahyangan RSUP dr.Hasan Sadikin Bandung (Pra DIPA),0,-,653028750,653028750,433037000,CV. AURA PERKASA,
25664014,Belanja Jasa Keamanan Dalam Perkantoran Kabupaten Bandung Barat,0,-,600000000,572433000,570912000,PT. ABDI DAYA MITRA ABADI,
25663014,Belanja Jasa Kebersihan Gedung Pusat Perkantoran Pemda Kabupaten Bandung Barat,0,-,990000000,974603000,963453000,PT. MANDIRI JAYA MAKMUR ABADI,
25661014,Pengadaan Jasa Cleaning Service Gedung PPBS Universitas Padjadjaran Tahun Anggaran 2015,0,Kementerian Pendidikan dan Kebudayaan,700980000,693271000,519650000,cv andya kharisma,
25660014,Pengadaan Jasa Pelaksanaan Pekerjaan Pembangunan Lab. MIPA Tahap V Universitas Pendidikan Indonesia,0,Kementerian Pendidikan dan Kebudayaan,829000000,822000000,800659415,CV.ANUGERAH BANGUN KENCANA,
25656014,Pengadaan Alat Tulis Kantor Tahun 2015 (Pra DIPA),0,-,2418212830,2284824000,1739138500,PT. OETOMO DJAYA PRINTING,
25653014,Pengadaan Jasa Cleaning Service Kantor Balai Monitor Spektrum Frekuensi Radio Kelas II Bandung Tahun Anggaran 2015,0,Kementerian Komunikasi Dan Informatika,824220000,477635000,453541000,PT. MANGLAYANG BERSEMI,
25652014,Pengadaan Jasa Pengamanan (Security) Pengemudi (Driver) dan Pramubakti Balai Monitor Spektrum Frekuensi Radio Kelas II Bandung Tahun Anggaran 2015,0,Kementerian Komunikasi Dan Informatika,1055400000,1052562000,1015340478,PT. BANGUN KARSA BUMI PERSADA (BKBP),
25651014,Pengadaan Jasa Kebersihan/Cleaning Service Kampus Dipati Ukur Universitas Padjadjaran Tahun Anggaran 2015,0,Kementerian Pendidikan dan Kebudayaan,493909000,493764000,366715000,CV.DIVA NUSANTARA,
25650014,Pengadaan Pupuk KNO3,0,Kabupaten Garut,625000000,616687500,609812500,SURYA USAHA ABDI PRATAMA, CV
25649014,Pengadaan Jasa Angkutan Kuliah Kerja Nyata Mahasiswa Tahun Anggaran 2015 Unpad (Tahap I),0,Kementerian Pendidikan dan Kebudayaan,950000000,759814000,638227000,CV. SURYA HARUM MANDIRI,
25647014,Pengadaan Jasa Kebersihan /Cleaning Service Gedung Rumah Sakit Pendidikan Jalan Eyckman 38 Universitas Padjadjaran Tahun Anggaran 2015,0,Kementerian Pendidikan dan Kebudayaan,2065158000,2049579000,1671519944,PT. PUTRI ARSANTI MANDIRI,
25646014,Pengadaan Peralatan Pendidikan Olahraga dan Kesenian SMK (DAK 2014),0,Kabupaten Garut,300000000,293700000,289905000,Astron Vega,
25644014,Pengadaan Pupuk Organik,0,Arsip Nasional Republik Indonesia,1350000000,1259595000,1190250000,Cahaya Permata Timur,
25643014,Pengadaan Laptop Unit Bimbingan Masyarakat Islam Kanmenag Kabupaten Cianjur Tahun 2014,0,Kementerian Agama,240000000,238644900,231000000,CV.RAMA MANDIRI,
25639014,Pengadaan Alat-alat Angkutan Darat Bermotor Sepeda Motor,0,-,3853100000,3806400000,3792000000,PT. CITRAKARYA PRANATA,
25638014,Belanja Barang yang akan Diserahkan kepada Masyarakat (Pengadaan Alat Mesin Pertanian),0,Kabupaten Subang,386700000,384349000,380955000,CV. IMAM JAYA,
25637014,Belanja Barang yang akan Diserahkan Kepada Masyarakat (Bahan Kimia Bahan Pendukung Kegiatan Pertanian dan Alsintan),0,Kabupaten Subang,534875000,534283000,531070500,CV. IMAM JAYA,
25636014,Pengadaan Jasa Cleaning Service Gedung Rektorat Jatinangor Unpad Tahun Anggaran 2015,0,Kementerian Pendidikan dan Kebudayaan,1369604000,1363293000,1072084745,swakarya prakarsa mandiri,
25634014,Jasa Layanan Komunikasi Data Wide Area Network (WAN) Universitas Padjadjaran Tahun Anggaran 2015,0,Kementerian Pendidikan dan Kebudayaan,3350000000,3295380000,2306766000,PT. APLIKANUSA LINTASARTA,
25630014,Pengadaan Jasa Konsultansi Penyusunan Dokumen Evaluasi Lingkungan Hidup (DELH) Kampus Unpad Jatinangor,0,Kementerian Pendidikan dan Kebudayaan,947545000,940764000,907797000,PT. GELAR BUANA SEMESTA,
25628014,Pengadaan Pupuk Majemuk Formulasi Khusus Tembakau,0,Kabupaten Garut,790625000,752468750,744906250,CV PRATAMA KARYA,
25627014,Pengadaan Pupuk Organik untuk Tanaman Tembakau,0,Kabupaten Garut,374750000,243377640,240589500,PRIMA YASA,
25626014,Belanja Barang Pencetakan KTP Elektronik TA 2014 (DAK),0,-,2497297000,2306137000,2109140000,CV. KADUGA,
25625014,Pengadaan Peralatan Pendidikan Olahraga dan Kesenian SMK (Lanjutan DAK 2013),0,Kabupaten Garut,560000000,548240000,543200000,C E N A YA N G 19,
25624014,Pengadaan Peralatan Laboratorium IPA SMK Kec. Tarogong Kidul (DAK 2014),0,Kabupaten Garut,300000000,299250000,290758275,CV WILLIAM INTERNASIONAL JAYA,
25623014,Pengadaan Peralatan Laboratorium IPA SMK Kec. Cilawu (DAK 2014),0,Kabupaten Garut,300000000,299250000,270689000,CV JAYA SENTOSA MANDIRI,
25622014,Pengadaan Peralatan Laboratorium Kimia SMK Kec. Tarogong Kidul (DAK 2014),0,Kabupaten Garut,300000000,299250000,284250000,CV. Abidzar Intan Pratama,
25620014,Belanja Modal Buku Keagamaan,0,Arsip Nasional Republik Indonesia,941100500,933899250,909826500,CV Putra Jaya Abadi,
25619014,Belanja Obat-obatan,0,-,1314755000,784192867,754190000,PT. ARCAMANIK MUSTIKA FARMA,
25618014,Perpanjangan Pemasangan Billboard Promosi Pariwisata Jawa Barat yang berlokasi di ruas jalan Tol Jagorawi Tol Cikampek dan Area Bandara Ngurah Rai Bali,0,-,1276150000,1266300000,1235905000,CV HARAPAN PUTRA,
25615014,Peningkatan Jalan Karangjati - Cilamaya (Bantuan APBD Propinsi Jawa Barat),0,Kabupaten Karawang,2980000000,2980000000,2860557000,PT. PUTRI GUNTUR PERKASA,
25614014,Pembangunan Jembatan Telukjambe (Lanjutan),0,Kabupaten Karawang,2467000000,2467000000,2387944000,WIRDA RAHAYU,
25613014,DAK Infrastruktur Jalan; Peningkatan Jalan Lamaran - Pasirkaliki (Lanjutan),0,Kabupaten Karawang,400000000,400000000,396000000,CV. WISDA JAYA,
